iperf 3.1.3
Linux host107 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 10:00:00 GMT
Connecting to host 192.168.110.8, port 5002
      Cookie: host107.1472983200.148841.10d65a3911
      TCP MSS: 1448 (default)
[  5] local 192.168.110.7 port 44995 connected to 192.168.110.8 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-0.50   sec   114 MBytes  1908 Mbits/sec    0   1.67 MBytes       
[  5]   0.50-1.00   sec   225 MBytes  3769 Mbits/sec    0   2.13 MBytes       
[  5]   1.00-1.50   sec   253 MBytes  4250 Mbits/sec    0   2.13 MBytes       
[  5]   1.50-2.00   sec   255 MBytes  4270 Mbits/sec    0   2.13 MBytes       
[  5]   2.00-2.50   sec   256 MBytes  4297 Mbits/sec    0   2.13 MBytes       
[  5]   2.50-3.00   sec   258 MBytes  4327 Mbits/sec    0   2.13 MBytes       
[  5]   3.00-3.50   sec   260 MBytes  4358 Mbits/sec    0   2.13 MBytes       
[  5]   3.50-4.00   sec   259 MBytes  4353 Mbits/sec    0   2.13 MBytes       
[  5]   4.00-4.50   sec   259 MBytes  4342 Mbits/sec    0   2.13 MBytes       
[  5]   4.50-5.00   sec   260 MBytes  4368 Mbits/sec    0   2.13 MBytes       
[  5]   5.00-5.50   sec   260 MBytes  4368 Mbits/sec    0   2.13 MBytes       
[  5]   5.50-6.00   sec   261 MBytes  4374 Mbits/sec    0   2.13 MBytes       
[  5]   6.00-6.50   sec   261 MBytes  4372 Mbits/sec    0   2.13 MBytes       
[  5]   6.50-7.00   sec   261 MBytes  4373 Mbits/sec    0   2.13 MBytes       
[  5]   7.00-7.50   sec   261 MBytes  4372 Mbits/sec    0   2.13 MBytes       
[  5]   7.50-8.00   sec   260 MBytes  4361 Mbits/sec    0   2.13 MBytes       
[  5]   8.00-8.50   sec   260 MBytes  4364 Mbits/sec    0   2.13 MBytes       
[  5]   8.50-9.00   sec   261 MBytes  4382 Mbits/sec    0   2.13 MBytes       
[  5]   9.00-9.50   sec   261 MBytes  4383 Mbits/sec    0   2.13 MBytes       
[  5]   9.50-10.00  sec   262 MBytes  4393 Mbits/sec    0   2.13 MBytes       
