iperf 3.1.3
Linux host117 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 10:00:00 GMT
Connecting to host 192.168.110.16, port 5002
      Cookie: host117.1472983200.377769.634425f974
      TCP MSS: 1448 (default)
[  5] local 192.168.110.17 port 37805 connected to 192.168.110.16 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-0.50   sec   231 MBytes  3876 Mbits/sec    0   2.16 MBytes       
[  5]   0.50-1.00   sec   400 MBytes  6705 Mbits/sec  179   1.39 MBytes       
[  5]   1.00-1.50   sec   320 MBytes  5368 Mbits/sec    0   1.43 MBytes       
[  5]   1.50-2.00   sec   298 MBytes  4998 Mbits/sec    0   1.47 MBytes       
[  5]   2.00-2.50   sec   298 MBytes  5002 Mbits/sec    0   1.51 MBytes       
[  5]   2.50-3.00   sec   304 MBytes  5096 Mbits/sec    0   1.54 MBytes       
[  5]   3.00-3.50   sec   341 MBytes  5720 Mbits/sec    0   1.56 MBytes       
[  5]   3.50-4.00   sec   343 MBytes  5759 Mbits/sec    0   1.58 MBytes       
[  5]   4.00-4.50   sec   345 MBytes  5796 Mbits/sec    0   1.60 MBytes       
[  5]   4.50-5.00   sec   348 MBytes  5841 Mbits/sec    0   1.61 MBytes       
[  5]   5.00-5.50   sec   349 MBytes  5850 Mbits/sec    0   1.62 MBytes       
[  5]   5.50-6.00   sec   348 MBytes  5847 Mbits/sec    0   1.63 MBytes       
[  5]   6.00-6.50   sec   349 MBytes  5858 Mbits/sec    0   1.63 MBytes       
[  5]   6.50-7.00   sec   351 MBytes  5890 Mbits/sec    0   1.64 MBytes       
[  5]   7.00-7.50   sec   346 MBytes  5801 Mbits/sec    0   1.64 MBytes       
[  5]   7.50-8.00   sec   345 MBytes  5787 Mbits/sec    0   1.64 MBytes       
[  5]   8.00-8.50   sec   346 MBytes  5809 Mbits/sec    0   1.65 MBytes       
[  5]   8.50-9.00   sec   343 MBytes  5759 Mbits/sec    0   1.65 MBytes       
[  5]   9.00-9.50   sec   341 MBytes  5714 Mbits/sec    0   1.65 MBytes       
[  5]   9.50-10.00  sec   344 MBytes  5763 Mbits/sec    0   1.66 MBytes       
[  5]  10.00-10.50  sec   346 MBytes  5813 Mbits/sec    0   1.66 MBytes       
[  5]  10.50-11.00  sec   349 MBytes  5845 Mbits/sec    0   1.66 MBytes       
[  5]  11.00-11.50  sec   311 MBytes  5212 Mbits/sec    0   1.66 MBytes       
[  5]  11.50-12.00  sec   315 MBytes  5283 Mbits/sec    0   1.67 MBytes       
[  5]  12.00-12.50  sec   324 MBytes  5431 Mbits/sec    0   1.67 MBytes       
[  5]  12.50-13.00  sec   324 MBytes  5440 Mbits/sec    0   1.68 MBytes       
[  5]  13.00-13.50  sec   322 MBytes  5407 Mbits/sec    0   1.70 MBytes       
[  5]  13.50-14.00  sec   334 MBytes  5600 Mbits/sec    0   1.72 MBytes       
[  5]  14.00-14.50  sec   332 MBytes  5578 Mbits/sec    0   1.75 MBytes       
[  5]  14.50-15.00  sec   326 MBytes  5475 Mbits/sec    0   1.77 MBytes       
[  5]  15.00-15.50  sec   324 MBytes  5440 Mbits/sec    0   1.80 MBytes       
[  5]  15.50-16.00  sec   299 MBytes  5024 Mbits/sec    0   1.84 MBytes       
[  5]  16.00-16.50  sec   305 MBytes  5116 Mbits/sec    0   1.84 MBytes       
[  5]  16.50-17.00  sec   312 MBytes  5244 Mbits/sec    0   1.90 MBytes       
[  5]  17.00-17.50  sec   316 MBytes  5305 Mbits/sec    0   1.90 MBytes       
[  5]  17.50-18.00  sec   321 MBytes  5379 Mbits/sec    0   2.03 MBytes       
[  5]  18.00-18.50  sec   324 MBytes  5439 Mbits/sec    0   2.03 MBytes       
[  5]  18.50-19.00  sec   327 MBytes  5480 Mbits/sec    0   2.15 MBytes       
[  5]  19.00-19.50  sec   321 MBytes  5382 Mbits/sec    0   2.15 MBytes       
[  5]  19.50-20.00  sec   308 MBytes  5165 Mbits/sec    0   2.15 MBytes       
[  5]  20.00-20.50  sec   290 MBytes  4873 Mbits/sec    0   2.15 MBytes       
[  5]  20.50-21.00  sec   292 MBytes  4903 Mbits/sec    0   2.15 MBytes       
[  5]  21.00-21.50  sec   295 MBytes  4958 Mbits/sec    0   2.15 MBytes       
[  5]  21.50-22.00  sec   296 MBytes  4969 Mbits/sec    0   2.15 MBytes       
[  5]  22.00-22.50  sec   297 MBytes  4978 Mbits/sec    0   2.15 MBytes       
[  5]  22.50-23.00  sec   279 MBytes  4686 Mbits/sec    0   2.15 MBytes       
[  5]  23.00-23.50  sec   272 MBytes  4570 Mbits/sec    0   2.15 MBytes       
[  5]  23.50-24.00  sec   276 MBytes  4635 Mbits/sec    0   2.15 MBytes       
[  5]  24.00-24.50  sec   278 MBytes  4658 Mbits/sec    0   2.15 MBytes       
[  5]  24.50-25.00  sec   280 MBytes  4691 Mbits/sec    0   2.15 MBytes       
[  5]  25.00-25.50  sec   281 MBytes  4720 Mbits/sec    0   2.15 MBytes       
[  5]  25.50-26.00  sec   288 MBytes  4833 Mbits/sec    0   2.15 MBytes       
[  5]  26.00-26.50  sec   288 MBytes  4839 Mbits/sec    0   2.15 MBytes       
[  5]  26.50-27.00  sec   294 MBytes  4930 Mbits/sec    0   2.15 MBytes       
[  5]  27.00-27.50  sec   292 MBytes  4907 Mbits/sec    0   2.15 MBytes       
[  5]  27.50-28.00  sec   292 MBytes  4906 Mbits/sec    0   2.22 MBytes       
[  5]  28.00-28.50  sec   286 MBytes  4803 Mbits/sec    0   2.22 MBytes       
[  5]  28.50-29.00  sec   283 MBytes  4753 Mbits/sec    0   2.22 MBytes       
[  5]  29.00-29.50  sec   284 MBytes  4768 Mbits/sec    0   2.22 MBytes       
[  5]  29.50-30.00  sec   282 MBytes  4739 Mbits/sec    0   2.22 MBytes       
[  5]  30.00-30.50  sec   285 MBytes  4790 Mbits/sec    0   2.22 MBytes       
[  5]  30.50-31.00  sec   285 MBytes  4780 Mbits/sec    0   2.29 MBytes       
[  5]  31.00-31.50  sec   284 MBytes  4770 Mbits/sec    0   2.36 MBytes       
[  5]  31.50-32.00  sec   285 MBytes  4776 Mbits/sec    0   2.43 MBytes       
[  5]  32.00-32.50  sec   286 MBytes  4798 Mbits/sec    0   2.46 MBytes       
[  5]  32.50-33.00  sec   292 MBytes  4893 Mbits/sec    0   2.53 MBytes       
[  5]  33.00-33.50  sec   301 MBytes  5050 Mbits/sec    0   2.53 MBytes       
[  5]  33.50-34.00  sec   303 MBytes  5088 Mbits/sec    0   2.53 MBytes       
