iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.13, port 5002
      Cookie: host115.1472986800.755252.238cf94a18
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 46431 connected to 192.168.110.13 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 268435456000 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-0.50   sec  73.5 MBytes  1233 Mbits/sec    0   1.61 MBytes       
[  5]   0.50-1.00   sec  90.5 MBytes  1519 Mbits/sec    0   1.64 MBytes       
[  5]   1.00-1.50   sec  85.8 MBytes  1439 Mbits/sec    0   1.64 MBytes       
[  5]   1.50-2.00   sec  85.0 MBytes  1426 Mbits/sec    0   1.69 MBytes       
[  5]   2.00-2.50   sec  92.6 MBytes  1554 Mbits/sec    0   1.86 MBytes       
[  5]   2.50-3.00   sec  96.5 MBytes  1619 Mbits/sec    0   1.98 MBytes       
[  5]   3.00-3.50   sec  97.5 MBytes  1634 Mbits/sec    0   1.98 MBytes       
[  5]   3.50-4.00   sec  99.1 MBytes  1663 Mbits/sec    0   2.04 MBytes       
[  5]   4.00-4.50   sec   121 MBytes  2028 Mbits/sec    0   2.10 MBytes       
[  5]   4.50-5.00   sec   111 MBytes  1863 Mbits/sec    0   2.10 MBytes       
[  5]   5.00-5.50   sec   121 MBytes  2032 Mbits/sec    0   2.16 MBytes       
[  5]   5.50-6.00   sec   108 MBytes  1810 Mbits/sec    0   2.21 MBytes       
[  5]   6.00-6.50   sec   105 MBytes  1762 Mbits/sec    0   2.21 MBytes       
[  5]   6.50-7.00   sec   105 MBytes  1761 Mbits/sec    0   2.21 MBytes       
[  5]   7.00-7.50   sec   106 MBytes  1773 Mbits/sec    0   2.27 MBytes       
[  5]   7.50-8.00   sec   106 MBytes  1771 Mbits/sec    0   2.27 MBytes       
[  5]   8.00-8.50   sec   106 MBytes  1773 Mbits/sec    0   2.27 MBytes       
[  5]   8.50-9.00   sec   112 MBytes  1883 Mbits/sec    0   2.27 MBytes       
[  5]   9.00-9.50   sec   115 MBytes  1930 Mbits/sec    0   2.27 MBytes       
[  5]   9.50-10.00  sec   112 MBytes  1881 Mbits/sec    0   2.27 MBytes       
[  5]  10.00-10.50  sec   121 MBytes  2027 Mbits/sec    0   2.27 MBytes       
