iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.14, port 5002
      Cookie: host115.1472986800.754895.4af5d58326
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 51148 connected to 192.168.110.14 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-0.50   sec   247 MBytes  4148 Mbits/sec    0   1.97 MBytes       
[  5]   0.50-1.00   sec   280 MBytes  4691 Mbits/sec    0   1.97 MBytes       
[  5]   1.00-1.50   sec   280 MBytes  4691 Mbits/sec    0   1.97 MBytes       
[  5]   1.50-2.00   sec   279 MBytes  4689 Mbits/sec    0   1.97 MBytes       
[  5]   2.00-2.50   sec   280 MBytes  4690 Mbits/sec    0   1.97 MBytes       
[  5]   2.50-3.00   sec   280 MBytes  4690 Mbits/sec    0   1.97 MBytes       
[  5]   3.00-3.50   sec   279 MBytes  4689 Mbits/sec    0   1.97 MBytes       
[  5]   3.50-4.00   sec   280 MBytes  4692 Mbits/sec    0   1.97 MBytes       
[  5]   4.00-4.50   sec   280 MBytes  4692 Mbits/sec    0   1.97 MBytes       
[  5]   4.50-5.00   sec   279 MBytes  4688 Mbits/sec    0   2.03 MBytes       
[  5]   5.00-5.50   sec   280 MBytes  4690 Mbits/sec    0   2.03 MBytes       
[  5]   5.50-6.00   sec   279 MBytes  4681 Mbits/sec    0   2.09 MBytes       
[  5]   6.00-6.50   sec   280 MBytes  4693 Mbits/sec    0   2.09 MBytes       
[  5]   6.50-7.00   sec   280 MBytes  4691 Mbits/sec    0   2.09 MBytes       
[  5]   7.00-7.50   sec   280 MBytes  4691 Mbits/sec    0   2.09 MBytes       
[  5]   7.50-8.00   sec   279 MBytes  4690 Mbits/sec    1   2.16 MBytes       
[  5]   8.00-8.50   sec   280 MBytes  4692 Mbits/sec    0   2.16 MBytes       
[  5]   8.50-9.00   sec   280 MBytes  4691 Mbits/sec    0   2.16 MBytes       
[  5]   9.00-9.50   sec   280 MBytes  4691 Mbits/sec    0   2.16 MBytes       
[  5]   9.50-10.00  sec   280 MBytes  4690 Mbits/sec    0   2.16 MBytes       
[  5]  10.00-10.50  sec   280 MBytes  4692 Mbits/sec    0   2.16 MBytes       
[  5]  10.50-11.00  sec   280 MBytes  4690 Mbits/sec    0   2.16 MBytes       
[  5]  11.00-11.50  sec   280 MBytes  4689 Mbits/sec    0   2.16 MBytes       
[  5]  11.50-12.00  sec   280 MBytes  4691 Mbits/sec    0   2.16 MBytes       
[  5]  12.00-12.50  sec   279 MBytes  4690 Mbits/sec    0   2.16 MBytes       
[  5]  12.50-13.00  sec   280 MBytes  4690 Mbits/sec    0   2.16 MBytes       
[  5]  13.00-13.50  sec   279 MBytes  4688 Mbits/sec    0   2.16 MBytes       
[  5]  13.50-14.00  sec   280 MBytes  4692 Mbits/sec    0   2.16 MBytes       
[  5]  14.00-14.50  sec   279 MBytes  4688 Mbits/sec    0   2.16 MBytes       
[  5]  14.50-15.00  sec   280 MBytes  4689 Mbits/sec    0   2.16 MBytes       
[  5]  15.00-15.50  sec   280 MBytes  4690 Mbits/sec    0   2.16 MBytes       
[  5]  15.50-16.00  sec   280 MBytes  4690 Mbits/sec    0   2.16 MBytes       
[  5]  16.00-16.50  sec   280 MBytes  4690 Mbits/sec    0   2.16 MBytes       
[  5]  16.50-17.00  sec   280 MBytes  4689 Mbits/sec    0   2.22 MBytes       
[  5]  17.00-17.50  sec   280 MBytes  4690 Mbits/sec    0   2.22 MBytes       
[  5]  17.50-18.00  sec   279 MBytes  4689 Mbits/sec    0   2.22 MBytes       
[  5]  18.00-18.50  sec   280 MBytes  4693 Mbits/sec    0   2.31 MBytes       
[  5]  18.50-19.00  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  19.00-19.50  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  19.50-20.00  sec   280 MBytes  4694 Mbits/sec    0   2.31 MBytes       
[  5]  20.00-20.50  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  20.50-21.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  21.00-21.50  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  21.50-22.00  sec   279 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  22.00-22.50  sec   280 MBytes  4692 Mbits/sec    0   2.31 MBytes       
[  5]  22.50-23.00  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  23.00-23.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  23.50-24.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  24.00-24.50  sec   280 MBytes  4691 Mbits/sec    0   2.31 MBytes       
[  5]  24.50-25.00  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  25.00-25.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  25.50-26.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  26.00-26.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  26.50-27.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  27.00-27.50  sec   280 MBytes  4691 Mbits/sec    0   2.31 MBytes       
[  5]  27.50-28.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  28.00-28.50  sec   279 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  28.50-29.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  29.00-29.50  sec   280 MBytes  4691 Mbits/sec    0   2.31 MBytes       
[  5]  29.50-30.00  sec   279 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  30.00-30.50  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  30.50-31.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  31.00-31.50  sec   280 MBytes  4695 Mbits/sec    0   2.31 MBytes       
[  5]  31.50-32.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  32.00-32.50  sec   280 MBytes  4691 Mbits/sec    0   2.31 MBytes       
[  5]  32.50-33.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  33.00-33.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  33.50-34.00  sec   279 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  34.00-34.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  34.50-35.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  35.00-35.50  sec   280 MBytes  4691 Mbits/sec    0   2.31 MBytes       
[  5]  35.50-36.00  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  36.00-36.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  36.50-37.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  37.00-37.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  37.50-38.00  sec   279 MBytes  4688 Mbits/sec    0   2.31 MBytes       
[  5]  38.00-38.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  38.50-39.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  39.00-39.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  39.50-40.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  40.00-40.50  sec   280 MBytes  4696 Mbits/sec    0   2.31 MBytes       
[  5]  40.50-41.00  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  41.00-41.50  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  41.50-42.00  sec   280 MBytes  4691 Mbits/sec    0   2.31 MBytes       
[  5]  42.00-42.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  42.50-43.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  43.00-43.50  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  43.50-44.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  44.00-44.50  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  44.50-45.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  45.00-45.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  45.50-46.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  46.00-46.50  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  46.50-47.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  47.00-47.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  47.50-48.00  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  48.00-48.50  sec   280 MBytes  4695 Mbits/sec    0   2.31 MBytes       
[  5]  48.50-49.00  sec   280 MBytes  4695 Mbits/sec    0   2.31 MBytes       
[  5]  49.00-49.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  49.50-50.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  50.00-50.50  sec   279 MBytes  4688 Mbits/sec    0   2.31 MBytes       
