iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.3, port 5001
      Cookie: host106.1473073200.133400.4a4a850021
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 43487 connected to 192.168.110.3 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-0.50   sec   165 MBytes  2760 Mbits/sec    0   1.20 MBytes       
[  5]   0.50-1.00   sec   210 MBytes  3519 Mbits/sec    0   1.97 MBytes       
[  5]   1.00-1.50   sec   225 MBytes  3776 Mbits/sec    0   1.97 MBytes       
[  5]   1.50-2.00   sec   229 MBytes  3835 Mbits/sec    0   1.97 MBytes       
[  5]   2.00-2.50   sec   228 MBytes  3817 Mbits/sec    0   1.97 MBytes       
[  5]   2.50-3.00   sec   219 MBytes  3679 Mbits/sec    0   1.97 MBytes       
[  5]   3.00-3.50   sec   219 MBytes  3667 Mbits/sec    0   1.97 MBytes       
[  5]   3.50-4.00   sec   220 MBytes  3701 Mbits/sec    0   1.97 MBytes       
[  5]   4.00-4.50   sec   221 MBytes  3709 Mbits/sec    0   1.97 MBytes       
[  5]   4.50-5.00   sec   222 MBytes  3724 Mbits/sec    0   1.97 MBytes       
[  5]   5.00-5.50   sec   222 MBytes  3730 Mbits/sec    0   1.97 MBytes       
[  5]   5.50-6.00   sec   223 MBytes  3747 Mbits/sec    0   1.97 MBytes       
[  5]   6.00-6.50   sec   224 MBytes  3756 Mbits/sec    0   1.97 MBytes       
[  5]   6.50-7.00   sec   225 MBytes  3770 Mbits/sec    0   1.97 MBytes       
[  5]   7.00-7.50   sec   226 MBytes  3801 Mbits/sec    0   1.97 MBytes       
[  5]   7.50-8.00   sec   227 MBytes  3809 Mbits/sec    0   1.97 MBytes       
[  5]   8.00-8.50   sec   227 MBytes  3812 Mbits/sec    0   1.97 MBytes       
[  5]   8.50-9.00   sec   228 MBytes  3814 Mbits/sec    0   1.97 MBytes       
[  5]   9.00-9.50   sec   225 MBytes  3775 Mbits/sec    0   1.97 MBytes       
[  5]   9.50-10.00  sec   219 MBytes  3668 Mbits/sec    0   1.97 MBytes       
[  5]  10.00-10.50  sec   219 MBytes  3671 Mbits/sec    0   1.97 MBytes       
[  5]  10.50-11.00  sec   218 MBytes  3654 Mbits/sec    0   1.97 MBytes       
[  5]  11.00-11.50  sec   220 MBytes  3697 Mbits/sec    0   1.97 MBytes       
[  5]  11.50-12.00  sec   232 MBytes  3889 Mbits/sec    0   1.97 MBytes       
[  5]  12.00-12.50  sec   226 MBytes  3793 Mbits/sec    0   1.97 MBytes       
[  5]  12.50-13.00  sec   226 MBytes  3793 Mbits/sec    0   2.02 MBytes       
[  5]  13.00-13.50  sec   237 MBytes  3983 Mbits/sec    0   2.02 MBytes       
[  5]  13.50-14.00  sec   236 MBytes  3968 Mbits/sec    0   2.02 MBytes       
[  5]  14.00-14.50  sec   236 MBytes  3963 Mbits/sec    0   2.02 MBytes       
[  5]  14.50-15.00  sec   236 MBytes  3951 Mbits/sec    0   2.02 MBytes       
[  5]  15.00-15.50  sec   230 MBytes  3863 Mbits/sec    0   2.02 MBytes       
[  5]  15.50-16.00  sec   231 MBytes  3874 Mbits/sec    0   2.07 MBytes       
[  5]  16.00-16.50  sec   232 MBytes  3905 Mbits/sec    0   2.07 MBytes       
[  5]  16.50-17.00  sec   235 MBytes  3943 Mbits/sec    0   2.07 MBytes       
[  5]  17.00-17.50  sec   241 MBytes  4043 Mbits/sec    0   2.24 MBytes       
[  5]  17.50-18.00  sec   246 MBytes  4123 Mbits/sec    0   2.24 MBytes       
[  5]  18.00-18.50  sec   238 MBytes  3982 Mbits/sec    0   2.24 MBytes       
[  5]  18.50-19.00  sec   234 MBytes  3922 Mbits/sec    0   2.24 MBytes       
[  5]  19.00-19.50  sec   233 MBytes  3910 Mbits/sec    0   2.24 MBytes       
[  5]  19.50-20.00  sec   233 MBytes  3905 Mbits/sec    0   2.24 MBytes       
[  5]  20.00-20.50  sec   232 MBytes  3889 Mbits/sec    0   2.24 MBytes       
[  5]  20.50-21.00  sec   231 MBytes  3871 Mbits/sec    0   2.24 MBytes       
[  5]  21.00-21.50  sec   230 MBytes  3854 Mbits/sec    0   2.24 MBytes       
[  5]  21.50-22.00  sec   230 MBytes  3860 Mbits/sec    0   2.24 MBytes       
[  5]  22.00-22.50  sec   230 MBytes  3857 Mbits/sec    0   2.24 MBytes       
[  5]  22.50-23.00  sec   232 MBytes  3902 Mbits/sec    0   2.24 MBytes       
[  5]  23.00-23.50  sec   231 MBytes  3881 Mbits/sec    0   2.24 MBytes       
[  5]  23.50-24.00  sec   230 MBytes  3869 Mbits/sec    0   2.24 MBytes       
[  5]  24.00-24.50  sec   232 MBytes  3893 Mbits/sec    0   2.24 MBytes       
[  5]  24.50-25.00  sec   234 MBytes  3925 Mbits/sec    0   2.24 MBytes       
[  5]  25.00-25.50  sec   241 MBytes  4036 Mbits/sec    0   2.24 MBytes       
[  5]  25.50-26.00  sec   240 MBytes  4019 Mbits/sec    0   2.24 MBytes       
[  5]  26.00-26.50  sec   232 MBytes  3889 Mbits/sec    0   2.24 MBytes       
[  5]  26.50-27.00  sec   232 MBytes  3895 Mbits/sec    0   2.24 MBytes       
[  5]  27.00-27.50  sec   231 MBytes  3879 Mbits/sec    0   2.24 MBytes       
[  5]  27.50-28.00  sec   231 MBytes  3881 Mbits/sec    0   2.24 MBytes       
[  5]  28.00-28.50  sec   232 MBytes  3901 Mbits/sec    0   2.24 MBytes       
[  5]  28.50-29.00  sec   232 MBytes  3899 Mbits/sec    0   2.24 MBytes       
[  5]  29.00-29.50  sec   234 MBytes  3921 Mbits/sec    0   2.24 MBytes       
[  5]  29.50-30.00  sec   236 MBytes  3974 Mbits/sec    0   2.24 MBytes       
[  5]  30.00-30.50  sec   237 MBytes  3973 Mbits/sec    0   2.24 MBytes       
[  5]  30.50-31.00  sec   238 MBytes  3984 Mbits/sec    0   2.24 MBytes       
[  5]  31.00-31.50  sec   238 MBytes  3985 Mbits/sec    0   2.24 MBytes       
[  5]  31.50-32.00  sec   237 MBytes  3980 Mbits/sec    0   2.24 MBytes       
[  5]  32.00-32.50  sec   232 MBytes  3904 Mbits/sec    0   2.24 MBytes       
[  5]  32.50-33.00  sec   233 MBytes  3911 Mbits/sec    0   2.24 MBytes       
[  5]  33.00-33.50  sec   234 MBytes  3930 Mbits/sec    0   2.24 MBytes       
[  5]  33.50-34.00  sec   234 MBytes  3915 Mbits/sec    0   2.24 MBytes       
[  5]  34.00-34.50  sec   232 MBytes  3899 Mbits/sec    0   2.24 MBytes       
[  5]  34.50-35.00  sec   234 MBytes  3924 Mbits/sec    0   2.24 MBytes       
[  5]  35.00-35.50  sec   234 MBytes  3921 Mbits/sec    0   2.24 MBytes       
[  5]  35.50-36.00  sec   234 MBytes  3934 Mbits/sec    0   2.24 MBytes       
[  5]  36.00-36.50  sec   235 MBytes  3941 Mbits/sec    0   2.24 MBytes       
[  5]  36.50-37.00  sec   232 MBytes  3893 Mbits/sec    0   2.24 MBytes       
[  5]  37.00-37.50  sec   224 MBytes  3754 Mbits/sec    0   2.24 MBytes       
[  5]  37.50-38.00  sec   225 MBytes  3781 Mbits/sec    0   2.24 MBytes       
[  5]  38.00-38.50  sec   225 MBytes  3764 Mbits/sec    0   2.24 MBytes       
[  5]  38.50-39.00  sec   228 MBytes  3834 Mbits/sec    0   2.24 MBytes       
[  5]  39.00-39.50  sec   229 MBytes  3848 Mbits/sec    0   2.24 MBytes       
[  5]  39.50-40.00  sec   231 MBytes  3875 Mbits/sec    0   2.24 MBytes       
[  5]  40.00-40.50  sec   239 MBytes  4002 Mbits/sec    0   2.24 MBytes       
[  5]  40.50-41.00  sec   234 MBytes  3936 Mbits/sec    0   2.24 MBytes       
[  5]  41.00-41.50  sec   226 MBytes  3785 Mbits/sec    0   2.24 MBytes       
[  5]  41.50-42.00  sec   226 MBytes  3802 Mbits/sec    0   2.24 MBytes       
[  5]  42.00-42.50  sec   224 MBytes  3761 Mbits/sec    0   2.24 MBytes       
[  5]  42.50-43.00  sec   224 MBytes  3753 Mbits/sec    0   2.24 MBytes       
[  5]  43.00-43.50  sec   224 MBytes  3753 Mbits/sec    0   2.24 MBytes       
[  5]  43.50-44.00  sec   223 MBytes  3748 Mbits/sec    0   2.24 MBytes       
[  5]  44.00-44.50  sec   222 MBytes  3728 Mbits/sec    0   2.24 MBytes       
[  5]  44.50-45.00  sec   224 MBytes  3750 Mbits/sec    0   2.24 MBytes       
[  5]  45.00-45.50  sec   224 MBytes  3750 Mbits/sec    0   2.24 MBytes       
[  5]  45.50-46.00  sec   222 MBytes  3729 Mbits/sec    0   2.24 MBytes       
[  5]  46.00-46.50  sec   221 MBytes  3706 Mbits/sec    0   2.24 MBytes       
[  5]  46.50-47.00  sec   220 MBytes  3682 Mbits/sec    0   2.24 MBytes       
[  5]  47.00-47.50  sec   218 MBytes  3648 Mbits/sec    0   2.24 MBytes       
[  5]  47.50-48.00  sec   218 MBytes  3666 Mbits/sec    0   2.24 MBytes       
[  5]  48.00-48.50  sec   216 MBytes  3625 Mbits/sec    0   2.24 MBytes       
[  5]  48.50-49.00  sec   212 MBytes  3565 Mbits/sec    0   2.24 MBytes       
[  5]  49.00-49.50  sec   212 MBytes  3562 Mbits/sec    0   2.24 MBytes       
[  5]  49.50-50.00  sec   214 MBytes  3583 Mbits/sec    0   2.24 MBytes       
[  5]  50.00-50.50  sec   234 MBytes  3936 Mbits/sec    0   2.24 MBytes       
[  5]  50.50-51.00  sec   219 MBytes  3671 Mbits/sec    0   2.24 MBytes       
[  5]  51.00-51.50  sec   213 MBytes  3576 Mbits/sec    0   2.24 MBytes       
[  5]  51.50-52.00  sec   209 MBytes  3500 Mbits/sec    0   2.24 MBytes       
[  5]  52.00-52.50  sec   208 MBytes  3481 Mbits/sec    0   2.24 MBytes       
[  5]  52.50-53.00  sec   208 MBytes  3496 Mbits/sec    0   2.24 MBytes       
[  5]  53.00-53.50  sec   209 MBytes  3498 Mbits/sec    0   2.24 MBytes       
[  5]  53.50-54.00  sec   212 MBytes  3561 Mbits/sec    0   2.24 MBytes       
[  5]  54.00-54.50  sec   217 MBytes  3635 Mbits/sec    0   2.24 MBytes       
