iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.14, port 5002
      Cookie: host115.1473078600.731689.18327b8464
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 48860 connected to 192.168.110.14 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-0.50   sec   224 MBytes  3758 Mbits/sec    0   1.73 MBytes       
[  5]   0.50-1.00   sec   260 MBytes  4357 Mbits/sec    0   2.06 MBytes       
[  5]   1.00-1.50   sec   261 MBytes  4383 Mbits/sec    0   2.06 MBytes       
[  5]   1.50-2.00   sec   262 MBytes  4396 Mbits/sec    0   2.13 MBytes       
[  5]   2.00-2.50   sec   267 MBytes  4484 Mbits/sec    0   2.13 MBytes       
[  5]   2.50-3.00   sec   266 MBytes  4464 Mbits/sec    0   2.19 MBytes       
[  5]   3.00-3.50   sec   266 MBytes  4467 Mbits/sec    0   2.26 MBytes       
[  5]   3.50-4.00   sec   260 MBytes  4362 Mbits/sec    0   2.33 MBytes       
[  5]   4.00-4.50   sec   260 MBytes  4363 Mbits/sec    0   2.33 MBytes       
[  5]   4.50-5.00   sec   260 MBytes  4363 Mbits/sec    0   2.33 MBytes       
[  5]   5.00-5.50   sec   260 MBytes  4362 Mbits/sec    0   2.33 MBytes       
[  5]   5.50-6.00   sec   260 MBytes  4361 Mbits/sec    0   2.33 MBytes       
[  5]   6.00-6.50   sec   260 MBytes  4362 Mbits/sec    0   2.33 MBytes       
[  5]   6.50-7.00   sec   259 MBytes  4341 Mbits/sec    0   2.33 MBytes       
[  5]   7.00-7.50   sec   260 MBytes  4356 Mbits/sec    0   2.41 MBytes       
[  5]   7.50-8.00   sec   259 MBytes  4352 Mbits/sec    0   2.48 MBytes       
[  5]   8.00-8.50   sec   259 MBytes  4341 Mbits/sec    0   2.48 MBytes       
[  5]   8.50-9.00   sec   256 MBytes  4300 Mbits/sec    0   2.48 MBytes       
[  5]   9.00-9.50   sec   256 MBytes  4291 Mbits/sec    0   2.48 MBytes       
[  5]   9.50-10.00  sec   256 MBytes  4289 Mbits/sec    0   2.48 MBytes       
[  5]  10.00-10.50  sec   255 MBytes  4273 Mbits/sec    0   2.48 MBytes       
[  5]  10.50-11.00  sec   253 MBytes  4244 Mbits/sec    0   2.48 MBytes       
[  5]  11.00-11.50  sec   250 MBytes  4191 Mbits/sec    0   2.48 MBytes       
[  5]  11.50-12.00  sec   252 MBytes  4223 Mbits/sec    0   2.48 MBytes       
[  5]  12.00-12.50  sec   255 MBytes  4277 Mbits/sec    0   2.48 MBytes       
[  5]  12.50-13.00  sec   254 MBytes  4270 Mbits/sec    0   2.48 MBytes       
