iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.3, port 5001
      Cookie: host106.1473078600.180767.5edff65f79
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 51589 connected to 192.168.110.3 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-0.50   sec   212 MBytes  3546 Mbits/sec    0   1.31 MBytes       
[  5]   0.50-1.00   sec   240 MBytes  4026 Mbits/sec    0   2.59 MBytes       
[  5]   1.00-1.50   sec   266 MBytes  4465 Mbits/sec    0   2.59 MBytes       
[  5]   1.50-2.00   sec   262 MBytes  4404 Mbits/sec    0   2.59 MBytes       
[  5]   2.00-2.50   sec   264 MBytes  4424 Mbits/sec    0   2.59 MBytes       
[  5]   2.50-3.00   sec   261 MBytes  4383 Mbits/sec    0   2.59 MBytes       
[  5]   3.00-3.50   sec   261 MBytes  4382 Mbits/sec    0   2.59 MBytes       
[  5]   3.50-4.00   sec   261 MBytes  4383 Mbits/sec    0   2.59 MBytes       
[  5]   4.00-4.50   sec   266 MBytes  4463 Mbits/sec    0   2.59 MBytes       
[  5]   4.50-5.00   sec   266 MBytes  4460 Mbits/sec    0   2.59 MBytes       
[  5]   5.00-5.50   sec   265 MBytes  4445 Mbits/sec    0   2.59 MBytes       
[  5]   5.50-6.00   sec   264 MBytes  4438 Mbits/sec    0   2.59 MBytes       
[  5]   6.00-6.50   sec   265 MBytes  4454 Mbits/sec    0   2.59 MBytes       
[  5]   6.50-7.00   sec   266 MBytes  4466 Mbits/sec    0   2.59 MBytes       
[  5]   7.00-7.50   sec   270 MBytes  4538 Mbits/sec    0   2.59 MBytes       
[  5]   7.50-8.00   sec   270 MBytes  4536 Mbits/sec    0   2.59 MBytes       
[  5]   8.00-8.50   sec   270 MBytes  4526 Mbits/sec    0   2.59 MBytes       
[  5]   8.50-9.00   sec   269 MBytes  4518 Mbits/sec    0   2.59 MBytes       
[  5]   9.00-9.50   sec   269 MBytes  4514 Mbits/sec    0   2.59 MBytes       
[  5]   9.50-10.00  sec   269 MBytes  4516 Mbits/sec    0   2.59 MBytes       
[  5]  10.00-10.50  sec   268 MBytes  4496 Mbits/sec    0   2.59 MBytes       
[  5]  10.50-11.00  sec   268 MBytes  4486 Mbits/sec    0   2.59 MBytes       
[  5]  11.00-11.50  sec   268 MBytes  4500 Mbits/sec    0   2.59 MBytes       
[  5]  11.50-12.00  sec   267 MBytes  4484 Mbits/sec    0   2.59 MBytes       
[  5]  12.00-12.50  sec   268 MBytes  4488 Mbits/sec    0   2.59 MBytes       
[  5]  12.50-13.00  sec   267 MBytes  4486 Mbits/sec    0   2.59 MBytes       
[  5]  13.00-13.50  sec   267 MBytes  4483 Mbits/sec    0   2.59 MBytes       
[  5]  13.50-14.00  sec   267 MBytes  4486 Mbits/sec    0   2.59 MBytes       
[  5]  14.00-14.50  sec   270 MBytes  4534 Mbits/sec    0   2.59 MBytes       
[  5]  14.50-15.00  sec   270 MBytes  4524 Mbits/sec    0   2.59 MBytes       
[  5]  15.00-15.50  sec   269 MBytes  4507 Mbits/sec    0   2.59 MBytes       
[  5]  15.50-16.00  sec   269 MBytes  4521 Mbits/sec    0   2.59 MBytes       
[  5]  16.00-16.50  sec   271 MBytes  4541 Mbits/sec    0   2.59 MBytes       
[  5]  16.50-17.00  sec   271 MBytes  4546 Mbits/sec    0   2.59 MBytes       
[  5]  17.00-17.50  sec   271 MBytes  4541 Mbits/sec    0   2.59 MBytes       
[  5]  17.50-18.00  sec   271 MBytes  4542 Mbits/sec    0   2.59 MBytes       
[  5]  18.00-18.50  sec   271 MBytes  4540 Mbits/sec    0   2.59 MBytes       
[  5]  18.50-19.00  sec   270 MBytes  4537 Mbits/sec    0   2.59 MBytes       
[  5]  19.00-19.50  sec   271 MBytes  4538 Mbits/sec    0   2.59 MBytes       
[  5]  19.50-20.00  sec   271 MBytes  4538 Mbits/sec    0   2.59 MBytes       
[  5]  20.00-20.50  sec   270 MBytes  4527 Mbits/sec    0   2.59 MBytes       
[  5]  20.50-21.00  sec   270 MBytes  4529 Mbits/sec    0   2.59 MBytes       
[  5]  21.00-21.50  sec   270 MBytes  4530 Mbits/sec    0   2.59 MBytes       
[  5]  21.50-22.00  sec   270 MBytes  4533 Mbits/sec    0   2.59 MBytes       
