iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.5, port 5004
      Cookie: host106.1473078600.180832.48d170ce55
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 58028 connected to 192.168.110.5 port 5004
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-0.50   sec   197 MBytes  3297 Mbits/sec    0   2.36 MBytes       
[  5]   0.50-1.00   sec   225 MBytes  3776 Mbits/sec    1   2.51 MBytes       
[  5]   1.00-1.50   sec   260 MBytes  4358 Mbits/sec    0   2.51 MBytes       
[  5]   1.50-2.00   sec   258 MBytes  4325 Mbits/sec    0   2.51 MBytes       
[  5]   2.00-2.50   sec   260 MBytes  4355 Mbits/sec    0   2.51 MBytes       
[  5]   2.50-3.00   sec   257 MBytes  4311 Mbits/sec    0   2.51 MBytes       
[  5]   3.00-3.50   sec   257 MBytes  4311 Mbits/sec    0   2.51 MBytes       
[  5]   3.50-4.00   sec   257 MBytes  4308 Mbits/sec    0   2.51 MBytes       
[  5]   4.00-4.50   sec   261 MBytes  4384 Mbits/sec    0   2.51 MBytes       
[  5]   4.50-5.00   sec   261 MBytes  4385 Mbits/sec    0   2.51 MBytes       
[  5]   5.00-5.50   sec   261 MBytes  4380 Mbits/sec    0   2.51 MBytes       
[  5]   5.50-6.00   sec   260 MBytes  4357 Mbits/sec    0   2.51 MBytes       
[  5]   6.00-6.50   sec   259 MBytes  4349 Mbits/sec    0   2.51 MBytes       
[  5]   6.50-7.00   sec   259 MBytes  4350 Mbits/sec    0   2.51 MBytes       
[  5]   7.00-7.50   sec   262 MBytes  4403 Mbits/sec    0   2.51 MBytes       
[  5]   7.50-8.00   sec   262 MBytes  4404 Mbits/sec    0   2.51 MBytes       
[  5]   8.00-8.50   sec   262 MBytes  4393 Mbits/sec    0   2.51 MBytes       
[  5]   8.50-9.00   sec   261 MBytes  4375 Mbits/sec    0   2.51 MBytes       
[  5]   9.00-9.50   sec   261 MBytes  4380 Mbits/sec    0   2.51 MBytes       
[  5]   9.50-10.00  sec   261 MBytes  4381 Mbits/sec    0   2.51 MBytes       
[  5]  10.00-10.50  sec   260 MBytes  4363 Mbits/sec    0   2.51 MBytes       
[  5]  10.50-11.00  sec   260 MBytes  4363 Mbits/sec    0   2.51 MBytes       
[  5]  11.00-11.50  sec   260 MBytes  4362 Mbits/sec    0   2.51 MBytes       
[  5]  11.50-12.00  sec   259 MBytes  4353 Mbits/sec    0   2.51 MBytes       
[  5]  12.00-12.50  sec   259 MBytes  4352 Mbits/sec    0   2.51 MBytes       
[  5]  12.50-13.00  sec   257 MBytes  4307 Mbits/sec    0   2.51 MBytes       
[  5]  13.00-13.50  sec   255 MBytes  4276 Mbits/sec    0   2.51 MBytes       
[  5]  13.50-14.00  sec   255 MBytes  4280 Mbits/sec    0   2.51 MBytes       
[  5]  14.00-14.50  sec   256 MBytes  4295 Mbits/sec    0   2.51 MBytes       
[  5]  14.50-15.00  sec   253 MBytes  4247 Mbits/sec    0   2.51 MBytes       
[  5]  15.00-15.50  sec   249 MBytes  4175 Mbits/sec    0   2.51 MBytes       
[  5]  15.50-16.00  sec   248 MBytes  4160 Mbits/sec    0   2.51 MBytes       
[  5]  16.00-16.50  sec   247 MBytes  4147 Mbits/sec    0   2.51 MBytes       
[  5]  16.50-17.00  sec   244 MBytes  4088 Mbits/sec    0   2.51 MBytes       
[  5]  17.00-17.50  sec   242 MBytes  4068 Mbits/sec    0   2.51 MBytes       
[  5]  17.50-18.00  sec   237 MBytes  3984 Mbits/sec    0   2.51 MBytes       
[  5]  18.00-18.50  sec   236 MBytes  3962 Mbits/sec    0   2.51 MBytes       
[  5]  18.50-19.00  sec   236 MBytes  3964 Mbits/sec    0   2.51 MBytes       
[  5]  19.00-19.50  sec   236 MBytes  3964 Mbits/sec    0   2.51 MBytes       
[  5]  19.50-20.00  sec   237 MBytes  3973 Mbits/sec    0   2.51 MBytes       
[  5]  20.00-20.50  sec   228 MBytes  3817 Mbits/sec    0   2.51 MBytes       
[  5]  20.50-21.00  sec   227 MBytes  3810 Mbits/sec    0   2.51 MBytes       
[  5]  21.00-21.50  sec   226 MBytes  3795 Mbits/sec    0   2.51 MBytes       
[  5]  21.50-22.00  sec   227 MBytes  3807 Mbits/sec    0   2.51 MBytes       
[  5]  22.00-22.50  sec   226 MBytes  3794 Mbits/sec    0   2.51 MBytes       
[  5]  22.50-23.00  sec   226 MBytes  3795 Mbits/sec    0   2.51 MBytes       
[  5]  23.00-23.50  sec   226 MBytes  3794 Mbits/sec    0   2.51 MBytes       
[  5]  23.50-24.00  sec   225 MBytes  3782 Mbits/sec    0   2.51 MBytes       
[  5]  24.00-24.50  sec   224 MBytes  3755 Mbits/sec    0   2.51 MBytes       
[  5]  24.50-25.00  sec   224 MBytes  3753 Mbits/sec    0   2.51 MBytes       
[  5]  25.00-25.50  sec   226 MBytes  3795 Mbits/sec    0   2.51 MBytes       
[  5]  25.50-26.00  sec   237 MBytes  3976 Mbits/sec    0   2.51 MBytes       
[  5]  26.00-26.50  sec   229 MBytes  3848 Mbits/sec    0   2.51 MBytes       
[  5]  26.50-27.00  sec   225 MBytes  3769 Mbits/sec    0   2.51 MBytes       
[  5]  27.00-27.50  sec   225 MBytes  3773 Mbits/sec    0   2.51 MBytes       
[  5]  27.50-28.00  sec   232 MBytes  3901 Mbits/sec    0   2.51 MBytes       
[  5]  28.00-28.50  sec   233 MBytes  3914 Mbits/sec    0   2.51 MBytes       
[  5]  28.50-29.00  sec   234 MBytes  3923 Mbits/sec    0   2.51 MBytes       
[  5]  29.00-29.50  sec   233 MBytes  3915 Mbits/sec    0   2.51 MBytes       
[  5]  29.50-30.00  sec   233 MBytes  3910 Mbits/sec    0   2.51 MBytes       
[  5]  30.00-30.50  sec   233 MBytes  3910 Mbits/sec    1   2.51 MBytes       
[  5]  30.50-31.00  sec   233 MBytes  3909 Mbits/sec    0   2.51 MBytes       
[  5]  31.00-31.50  sec   233 MBytes  3906 Mbits/sec    0   2.51 MBytes       
[  5]  31.50-32.00  sec   233 MBytes  3909 Mbits/sec    0   2.51 MBytes       
[  5]  32.00-32.50  sec   235 MBytes  3942 Mbits/sec    0   2.51 MBytes       
[  5]  32.50-33.00  sec   238 MBytes  3998 Mbits/sec    0   2.51 MBytes       
